conversation_id,turns,domain,era,teams_or_players,user_initial_question,expected_answer_mode_turn1,acceptable_modes_turn1,expected_tables,gold_sql,gold_key_values,notes_for_grader,assistant_reply_1,user_followup_1,assistant_reply_2,user_followup_2,assistant_final_action_or_answer
conv_001,multi,Player similarity,2000s,"Tracy McGrady, Orlando Magic, Houston Rockets",Who has the most similar career stats to Tracy McGrady?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex similarity SQL,"That is a player-similarity question. There is no precomputed similarity score in the warehouse, but I can build a comparison from the career and season stats available in the database. Do you want similarity based on full-career averages, peak seasons, advanced metrics, or an overall blend?",Use an overall blend.,"Good. For McGrady, an overall blend should include scoring, assists, rebounds, shooting efficiency, games, minutes, and advanced impact if available. Should I weight scoring and playmaking more heavily since those were central to his profile?","Yes, weight scoring and assists more.","I will compare McGrady to other players using a weighted blend of career per-game stats, efficiency, longevity, and available advanced metrics, with extra weight on points and assists. I will return a ranked top 10 rather than a single player so the closest matches are easier to evaluate."
conv_002,multi,Peak comparison,1990s vs 2000s,"Allen Iverson, Tracy McGrady",Was Allen Iverson or Tracy McGrady better at their peak?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex comparison SQL,"That depends on how you want to define peak. I can compare their best single season, best three-year stretch, or best five-year stretch. Which version should I use?",Best five-year stretch.,"Good choice. Should the comparison emphasize box-score production, advanced impact, playoff performance, or a balanced view?",Balanced view.,"I will compare their best five-year stretches using scoring, assists, rebounds, efficiency, minutes, available advanced metrics, and playoff context if available. I will explain where each player has the statistical edge rather than forcing a one-number answer."
conv_003,multi,Era-adjusted comparison,1960s vs modern,"Wilt Chamberlain, Nikola Jokic",How does Wilt compare to Jokic statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex comparison SQL,"That is a cross-era comparison, so raw totals can be misleading because pace, minutes, and league environment were very different. Do you want raw numbers, per-36/per-100 possession numbers, or era-relative stats?",Use per-100 if available.,"I can use per-possession style stats where the database supports them. Should I focus on regular season only, or include playoffs too?",Regular season only.,"I will compare Wilt and Jokic using regular-season per-possession or pace-adjusted production where available, then add context for scoring, rebounding, assists, efficiency, and minutes so the result is not distorted by era pace."
conv_004,multi,Franchise leaders,All eras,Los Angeles Lakers,Who is the greatest Laker ever statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,"'Greatest' is soft; the blend used must be stated, Lakers-only filter applied.","I can approach that a few ways. Do you mean greatest based only on Lakers seasons, or full career including seasons with other teams?",Only Lakers seasons.,"Understood. Should I rank by career totals with the Lakers, per-game dominance, advanced metrics, awards, or a blended score?",Use a blended score.,"I will compare Lakers-only production using franchise totals, per-game stats, longevity, efficiency, and available advanced metrics. I will likely return a ranked list rather than one name, because players like Magic, Kobe, Kareem, Shaq, West, and LeBron can lead in different categories."
conv_005,multi,Team season comparison,1990s,"1995-96 Bulls, 1996-97 Bulls",Were the 1996 Bulls better than the 1997 Bulls?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can compare those teams statistically. Should I use regular-season performance only, playoff performance only, or both?",Both.,"Good. Should the comparison emphasize win-loss record, point differential, offensive/defensive ratings if available, or roster production?",Start with record and point differential.,"I will compare the 1995-96 and 1996-97 Bulls using regular-season record, point differential, playoff record, and available team stats. I will call out whether one team was clearly better or whether the answer depends on regular season versus postseason."
conv_006,multi,Player career arc,2010s,Derrick Rose,How much did Derrick Rose decline after his MVP season?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies on complex questions,"I can measure that by comparing his MVP season to later seasons. Do you want the first season after the injury, his entire post-MVP career, or year-by-year trends?",Year-by-year trends.,"Should I focus on scoring and assists, efficiency, minutes played, advanced metrics, or all of those?",All of those.,"I will produce a season-by-season view of Rose after his MVP season, comparing points, assists, efficiency, games, minutes, and available advanced metrics to his MVP baseline."
conv_007,multi,Draft class analysis,2003,"2003 NBA Draft, LeBron James, Carmelo Anthony, Dwyane Wade, Chris Bosh",Who had the best career from the 2003 draft class?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can rank the 2003 draft class in several ways. Do you want total career value, peak value, awards, playoff success, or statistical production?",Total career value.,"Should I use full NBA careers only, or include international or non-NBA accomplishments if they appear in the data?",NBA only.,"I will rank 2003 draftees by NBA career value using available totals, games, minutes, all-star/all-NBA indicators if present, and advanced metrics such as win shares or VORP if available."
conv_008,multi,Rookie season comparison,Modern,"LeBron James, Luka Doncic","Who had the better rookie season, LeBron or Luka?",execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can compare their rookie seasons directly. Should I use regular-season stats only, or include playoff performance if available?",Regular season only.,"Should the comparison emphasize raw production, efficiency, advanced metrics, team success, or a balanced view?",Balanced view.,"I will compare LeBron and Luka as rookies using points, rebounds, assists, efficiency, minutes, team record context if available, and advanced metrics. I will separate box-score edge from efficiency and impact edge."
conv_009,multi,Playoff risers,All eras,Jimmy Butler,Does Jimmy Butler actually get better in the playoffs?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can test that by comparing his regular-season and playoff production. Do you want career averages, season-by-season comparisons, or just his Miami years?",Just his Miami years.,"Should I compare scoring only, or include assists, rebounds, efficiency, usage, and advanced metrics if available?",Include everything.,"I will compare Butler's Miami regular seasons against his Miami playoff runs using points, assists, rebounds, shooting efficiency, minutes, and available advanced metrics to show whether his production and impact increased."
conv_010,multi,Player-vs-player totals,1980s,"Magic Johnson, Larry Bird","Who had better career stats, Magic or Bird?",execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"That can mean different things because Magic and Bird had different statistical profiles. Should I compare full-career totals, per-game averages, advanced metrics, or playoff stats?",Per-game and advanced metrics.,"Should I include only regular-season numbers first, then mention playoff differences separately?",Yes.,"I will compare Magic and Bird using regular-season per-game stats and available advanced metrics first, then add a separate playoff note so the regular-season comparison stays clean."
conv_011,multi,Team identity,2000s,2004 Detroit Pistons,How good was the 2004 Pistons defense?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can evaluate that using team defensive stats and playoff context. Should I compare them to the rest of the 2003-04 league, to all champions, or to all-time defenses?",Compare them to all champions.,"Should I use defensive rating if available, opponent points, point differential, playoff defensive performance, or all of those?",All of those.,"I will compare the 2004 Pistons defense against other championship teams using available defensive rating, opponent scoring, point differential, and playoff defensive performance."
conv_012,multi,Awards sanity check,2010s,"James Harden, Russell Westbrook, 2016-17 MVP",Should Harden have won MVP over Westbrook in 2017?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can compare their 2016-17 cases statistically. Should I focus on individual production, team success, advanced metrics, or award-voter style criteria?",Award-voter style criteria.,"That usually means individual stats, team record, narrative achievements, and advanced impact. Should I also show what changes if we remove narrative and use stats only?",Yes.,"I will compare Harden and Westbrook in 2016-17 using MVP-style criteria first, then add a stats-only comparison so the user can see why different methods might produce different answers."
conv_013,multi,Role/player archetype,Modern,Draymond Green,Are there any players statistically similar to Draymond Green?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player dimension),"Draymond is tricky because his value is not fully captured by box-score scoring. Should I search for similar players by defense/playmaking profile, advanced impact, or basic career stats?",Defense and playmaking.,"Good. Should I restrict the search to forwards and centers, or allow guards too if their assists/defensive stats fit?",Forwards and centers only.,"I will search for forwards and centers with similar assist rates or assist averages, rebounding, steals, blocks, low-to-moderate scoring, and available defensive/advanced impact metrics."
conv_014,multi,Longevity,All eras,"LeBron James, Kareem Abdul-Jabbar","Who has better longevity, LeBron or Kareem?",execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"Longevity can mean games played, minutes, seasons at an All-NBA level, total production, or age-based production. Which definition should I use?",Age-based production.,"Should I compare their production after age 35, or across each age season from 18 onward?",After age 35.,"I will compare LeBron and Kareem after age 35 using games, minutes, points, rebounds, assists, efficiency, and available advanced metrics to show late-career value."
conv_015,multi,Team roster construction,2010s,Golden State Warriors,Why were the Warriors so dominant statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,'So dominant' span is soft; default 2014-15 through 2018-19.,"I can break that down by season and by statistical category. Do you want the 2015 title team, the 2016 73-win team, the Durant years, or the whole dynasty?",The Durant years.,"Should I focus on team offense, defense, shooting, point differential, playoff performance, or star-player production?",Offense and point differential.,"I will analyze the Durant-era Warriors by season using offensive indicators, shooting profile if available, scoring margin, net rating or point differential, and playoff context."
conv_016,multi,Single-game performance,Modern,"Kobe Bryant, 81-point game",Can you show Kobe's 81-point game stats?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player_game_box),"I can look for that game if game-level box scores are available. Do you want just Kobe's stat line, or the full Lakers-Raptors box score?",Just Kobe's line.,"Should I include shooting splits, free throws, rebounds, assists, steals, blocks, turnovers, and minutes if available?",Yes.,I will search the game logs or box-score tables for Kobe's 81-point game and return his full stat line with shooting splits and minutes if the database includes that game.
conv_017,multi,Game logs trend,Modern,Stephen Curry,What was Steph Curry's best scoring month?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player_game_box),I can calculate that from game logs if the data includes game dates and points. Do you want best month by total points or points per game?,Points per game.,Should I require a minimum number of games in the month so a tiny sample does not win?,"Yes, minimum 8 games.","I will group Curry's games by month and rank months by points per game, requiring at least 8 games played in the month."
conv_018,multi,Franchise relocation,All eras,"Seattle SuperSonics, Oklahoma City Thunder",Do Thunder records include the Seattle SuperSonics?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,Data-lineage question; may be answered from franchise metadata rather than a query.,"That depends on how the database models franchise history. Do you want me to treat Seattle and Oklahoma City as one continuous franchise, or separate them by city?",Continuous franchise.,Understood. Should I label results by franchise lineage while still showing the team name used in each season?,Yes.,"I will treat the SuperSonics and Thunder as one franchise lineage, while preserving the team name shown for each season so the results remain historically clear."
conv_019,multi,ABA/NBA history,1970s,"Julius Erving, ABA, NBA",Does Julius Erving's career look different if you include ABA stats?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,"COVERAGE-DEPENDENT: if ABA stats are absent, not_answerable with explanation is correct. Pin after first run.","Yes, it can change significantly. Does your question want NBA-only stats, ABA-only stats, or combined ABA/NBA stats if the database supports both?",Combined if possible.,Should I also show the NBA-only version next to the combined version for comparison?,Yes.,"I will return Erving's NBA-only career line and his combined ABA/NBA line if ABA data exists, then explain which totals and averages change the most."
conv_020,multi,Scoring champions,All eras,NBA scoring leaders,Who are the best scorers ever by career points per game?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can rank career points per game, but should I use a minimum games threshold to avoid small-sample players?",Use at least 400 games.,"Should I include active players and older BAA/ABA seasons if the database has them, or NBA only?","NBA only, active players included.","I will rank NBA players by career points per game with at least 400 games played, including active players, and I will include games and minutes so sample size is visible."
